mp,exp,hs,hd,hp
-0.3026644585532997,1.45925131657436,0.5010942792495816,0.15728383278950214,1.7969458140864458
-0.45395799768724926,1.9343208618364633,0.6877613690751864,0.6037478894256022,1.5301686352964237
-1.1651659537431376,1.963634504682265,0.7616860713040403,0.773899234542045,1.2141806580333694
-1.4671947718481353,1.7798255915847023,0.796336929399982,0.44814779845319547,1.325832815201933
-1.4859830372507756,0.5348564883820891,0.5080966500147803,0.18367892438138178,0.7009385793975031
-1.3225668928458827,0.26708781144287885,0.5081565593185718,-0.05154295901469896,0.8488287313992829
-0.9468367104498453,0.17465581499193067,0.38360886070141614,-0.36409890244324267,0.8031280662645877
-0.8424213552790937,0.3176498752473165,0.12224453814033448,-0.2502876753354803,0.3593440553833784
-0.8944234939696896,0.44770116484346795,0.03671100006032057,-0.45556577685886757,0.20323040697058345
-0.7293665111999875,0.3278814363707884,-0.22431499547511108,-0.4363926810377984,-0.20552968037623978
-0.5875208847944225,0.20556749197403523,-0.42259420001967124,-0.30255343774295934,-0.30301665128235394
-0.25218263563839166,0.23924454772518192,-0.5512637273413881,-0.21974780590562368,-0.18971667022009725
0.014008828658399232,0.2896460099761617,-0.677568362986507,0.045027281925807953,-0.16355717715659343
0.10320414414063198,0.5334264305341215,-0.6111915178266638,0.19779505546716256,-0.07124171174660793
0.08516825683444292,0.7103146461487327,-0.6220540213017527,0.25330965907909464,-0.08840981175642934
-0.0739506054426375,0.7396496669114719,-0.6533865493242719,0.28237213282094564,-0.1006037025570819
-0.1908935319523386,0.6521010100967565,-0.6553757705804568,0.14624242580286534,-0.04416398624621222
-0.2080028488209217,0.5485974991594786,-0.6591242635118957,0.07928323154117659,-0.03202486367834939
-0.19707833629691474,0.4971959442175474,-0.5813589802502118,0.01816652447846246,-0.016529408183205644
-0.16486408994744026,0.4613425044543389,-0.5013374842145913,-0.05218231994591858,-0.08297964164601647
